id	symbol	chr	strand	nprots	ntrans	SV	WT	WT_prots	SV_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000163617	KIAA1407	3	-	6	6	113761694:113775224	113765580:113772444|113765580:113775224|113772483:113775224|113761694:113765438	ENSP00000295878|ENSP00000418099	ENSP00000418991|ENSP00000419159	1	2	142	181	
ENSG00000101955	SRPX	X	-	5	5	38033605:38079949	38033605:38037538|38037598:38079949	ENSP00000411165|ENSP00000445034|ENSP00000367794	ENSP00000440758	1	1	60	60	
ENSG00000101955	SRPX	X	-	5	5	38024149:38033413	38031311:38033413|38024149:38031134	ENSP00000440758|ENSP00000445034|ENSP00000367794|ENSP00000339211	ENSP00000411165	1	1	177	177	
ENSG00000101955	SRPX	X	-	5	5	38009148:38016149	38009148:38013715|38013837:38016149	ENSP00000440758|ENSP00000411165|ENSP00000367794|ENSP00000339211	ENSP00000445034	1	1	122	122	
ENSG00000115750	TAF1B	2	+	6	6	10008559:10022835	10008559:10015994|10016148:10022835	ENSP00000263663	ENSP00000414184	1	1	154	154	
ENSG00000102967	DHODH	16	+	3	3	72051006:72058044	72057218:72057379|72056375:72057064|72057533:72058044|72057218:72057373|72051006:72055023|72055211:72056261	ENSP00000461848|ENSP00000219240	ENSP00000460966	4	4	610	616	
ENSG00000140464	PML	15	+	20	20	74317269:74325497	74317269:74324913|74325057:74325497	ENSP00000378567|ENSP00000268059|ENSP00000268058|ENSP00000455612|ENSP00000456486|ENSP00000394642|ENSP00000395576|ENSP00000406709|ENSP00000458061	ENSP00000315434|ENSP00000455838|ENSP00000457023|ENSP00000457032|ENSP00000457669|ENSP00000456329	1	1	144	144	
ENSG00000140464	PML	15	+	20	20	74317269:74326819	74317269:74324913|74325756:74326819|74325057:74325497|74317269:74325497|74325764:74326819	ENSP00000378567|ENSP00000268059|ENSP00000315434|ENSP00000268058|ENSP00000455838|ENSP00000455612|ENSP00000456486|ENSP00000394642|ENSP00000395576|ENSP00000457023|ENSP00000406709|ENSP00000457669|ENSP00000458061|ENSP00000456329	ENSP00000456277|ENSP00000353004	1	2	259	411	
ENSG00000224305	HLA-DQB2	HSCHR6_MHC_COX	-	5	5	32648781:32650326	32648781:32649249|32649360:32650326	ENSP00000388849|ENSP00000387578	ENSP00000408884|ENSP00000447018	1	1	111	111	
ENSG00000224305	HLA-DQB2	HSCHR6_MHC_COX	-	5	5	32647942:32650326	32648781:32649249|32649360:32650326|32648781:32650326|32647942:32648757	ENSP00000388849|ENSP00000408884|ENSP00000447018	ENSP00000403201	1	2	24	135	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94114869:94204038	94134838:94204038|94114869:94134718	ENSP00000460509|ENSP00000461062|ENSP00000458936|ENSP00000459934	ENSP00000461049	1	1	120	120	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94248682:94267658	94248682:94253601|94253679:94259667|94259727:94267658	ENSP00000460509|ENSP00000458936|ENSP00000459961|ENSP00000458477	ENSP00000461049|ENSP00000459351	2	2	138	138	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94353189:94417130	94404534:94417130|94353189:94404489	ENSP00000458489	ENSP00000461049|ENSP00000458936|ENSP00000459934|ENSP00000458477|ENSP00000461248	1	1	45	45	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94248682:94275788	94248682:94259667|94248682:94267658|94248682:94253601|94253679:94259667|94267697:94275788|94259727:94267658|94259727:94275788	ENSP00000460509|ENSP00000461049|ENSP00000458936|ENSP00000459961|ENSP00000458477|ENSP00000461260|ENSP00000459351	ENSP00000459934|ENSP00000459848	1	3	39	177	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94248682:94259667	94248682:94253601|94253679:94259667	ENSP00000460509|ENSP00000458936|ENSP00000459961|ENSP00000458477	ENSP00000461260	1	1	78	78	
ENSG00000262742	MCTP1	HSCHR5_1_CTG2	-	13	13	94259727:94275788	94267697:94275788|94259727:94267658	ENSP00000460509|ENSP00000458936|ENSP00000459961|ENSP00000458477	ENSP00000461260	1	1	39	39	
ENSG00000117298	ECE1	1	-	8	8	21546625:21551743	21546625:21548240|21548336:21551743	ENSP00000405088|ENSP00000349581|ENSP00000364028|ENSP00000264205	ENSP00000388439	1	1	96	96	
ENSG00000155975	VPS37A	8	+	9	9	17104879:17125767	17123491:17125767|17104879:17105819|17105927:17125767|17104879:17123416	ENSP00000318629|ENSP00000318173|ENSP00000428823|ENSP00000430456|ENSP00000412824	ENSP00000429680	1	1	75	108	
ENSG00000102172	SMS	X	+	4	4	21985435:21995179	21985435:21990015|21990109:21990625|21990690:21995179	ENSP00000385746|ENSP00000407366	ENSP00000368714	2	2	159	159	
ENSG00000108963	DPH1	17	+	8	8	1943900:1944775	1944476:1944775|1943900:1944397	ENSP00000263083|ENSP00000460431|ENSP00000458838|ENSP00000458726|ENSP00000458451|ENSP00000460813	ENSP00000459308	1	1	79	79	
ENSG00000241878	PISD	22	-	12	12	32044263:32058130	32044263:32046685|32046765:32058130	ENSP00000414395|ENSP00000391739|ENSP00000338695	ENSP00000396500	1	1	80	80	
ENSG00000241878	PISD	22	-	12	12	32015823:32016982	32016700:32016982|32016586:32016982|32015823:32016539	ENSP00000371586|ENSP00000266095|ENSP00000414395|ENSP00000391739|ENSP00000338695|ENSP00000410933	ENSP00000380637	1	1	47	161	
ENSG00000151718	WWC2	4	+	9	9	184114862:184161336	184129310:184130102|184130179:184161336|184114862:184129106	ENSP00000384222|ENSP00000425054|ENSP00000398577	ENSP00000423238	2	2	281	281	
ENSG00000151718	WWC2	4	+	9	9	184130179:184166569	184130179:184161336|184161416:184166569	ENSP00000384222|ENSP00000368205|ENSP00000425054|ENSP00000398577|ENSP00000413521	ENSP00000393342	1	1	80	80	
ENSG00000215522	DDR1	HSCHR6_MHC_QBL	+	18	18	30852041:30853990	30852041:30852773|30852884:30853990	ENSP00000383339|ENSP00000383338|ENSP00000449255	ENSP00000383337|ENSP00000383336|ENSP00000383334|ENSP00000449930	1	1	111	111	
ENSG00000215522	DDR1	HSCHR6_MHC_QBL	+	18	18	30848488:30849371	30848488:30848747|30848847:30849371	ENSP00000383339|ENSP00000383338|ENSP00000383337|ENSP00000383336|ENSP00000383334|ENSP00000449930|ENSP00000449255	ENSP00000449238	1	1	100	100	
ENSG00000215522	DDR1	HSCHR6_MHC_QBL	+	18	18	30852041:30854383	30852041:30852773|30852884:30853990|30852884:30854100|30852041:30853990|30854235:30854383	ENSP00000383339|ENSP00000383338|ENSP00000383337|ENSP00000383336|ENSP00000383334|ENSP00000403247|ENSP00000449930|ENSP00000449255|ENSP00000447882	ENSP00000448797	1	2	245	356	
ENSG00000144355	DLX1	2	+	5	5	172950719:172952731	172950719:172951382|172951582:172952731	ENSP00000448827|ENSP00000354478	ENSP00000341786	1	1	200	200	
ENSG00000167094	TTC16	9	+	4	4	130486644:130488518	130486644:130487035|130487177:130488518	ENSP00000362386	ENSP00000362385|ENSP00000319048	1	1	142	142	
ENSG00000167094	TTC16	9	+	4	4	130479704:130482357	130479704:130479908|130480052:130482357	ENSP00000362386	ENSP00000319048	1	1	144	144	
ENSG00000167094	TTC16	9	+	4	4	130488684:130489549	130488684:130489249|130489392:130489549	ENSP00000362386|ENSP00000362385	ENSP00000319048	1	1	143	143	
ENSG00000091136	LAMB1	7	-	5	5	107642179:107643294	107642830:107643294|107642179:107642572	ENSP00000412686	ENSP00000222399|ENSP00000377190|ENSP00000377189	1	1	258	258	
ENSG00000125618	PAX8	2	-	9	9	113984834:113999128	113994299:113999128|113993160:113994178|113984834:113992971|113993081:113994178|113984834:113994178	ENSP00000314750|ENSP00000395498|ENSP00000451240|ENSP00000263334	ENSP00000263335	1	2	121	310	
ENSG00000125618	PAX8	2	-	9	9	113977756:113999128	113994299:113999128|113993160:113994178|113984834:113999128|113984834:113992971|113993081:113994178|113977756:113984732|113984834:113994178	ENSP00000263335|ENSP00000314750|ENSP00000395498|ENSP00000451240|ENSP00000263334	ENSP00000380768	1	3	102	412	
ENSG00000125618	PAX8	2	-	9	9	113984834:113994178	113993160:113994178|113984834:113992971|113993081:113994178	ENSP00000314750|ENSP00000395498|ENSP00000263334	ENSP00000451240	1	1	110	189	
ENSG00000125618	PAX8	2	-	9	9	114000356:114035947	114000356:114002004|114002202:114004331|114004497:114035947	ENSP00000263335|ENSP00000380768|ENSP00000314750|ENSP00000395498|ENSP00000263334	ENSP00000451213	2	2	364	364	
ENSG00000152910	CNTNAP4	16	+	4	4	76482849:76486405	76483756:76486405|76482849:76483612	ENSP00000306893|ENSP00000417628	ENSP00000439733|ENSP00000418741	1	1	144	144	
ENSG00000104427	ZC2HC1A	8	+	2	2	79610749:79627456	79624342:79627456|79610749:79624225	ENSP00000427797	ENSP00000263849	1	1	117	117	
ENSG00000100024	UPB1	22	+	5	5	24891476:24898094	24896247:24898094|24891476:24896075	ENSP00000324343|ENSP00000372208|ENSP00000413408	ENSP00000406057|ENSP00000400684	1	1	172	172	
ENSG00000072803	FBXW11	5	-	9	9	171341410:171433462	171341410:171384601|171384703:171433462	ENSP00000428753	ENSP00000296933	1	1	102	102	
ENSG00000072803	FBXW11	5	-	9	9	171337802:171384601	171341410:171384601|171337802:171341347	ENSP00000428753	ENSP00000265094	1	1	63	63	
ENSG00000072803	FBXW11	5	-	9	9	171337802:171433462	171341410:171433462|171337802:171384601|171341410:171384601|171384703:171433462|171337802:171341347	ENSP00000296933|ENSP00000265094|ENSP00000428753	ENSP00000377391	1	2	63	165	
ENSG00000070413	DGCR2	22	-	5	5	19055739:19109641	19077004:19109641|19055739:19076881	ENSP00000263196|ENSP00000445069|ENSP00000410150	ENSP00000440062	1	1	123	123	
ENSG00000138071	ACTR2	2	+	4	4	65467097:65473658	65469198:65473658|65467097:65469183	ENSP00000367220	ENSP00000260641	1	1	15	15	
ENSG00000175267	VWA3A	16	+	8	8	22130349:22132835	22132425:22132835|22130349:22132289	ENSP00000457770|ENSP00000374049	ENSP00000308827	1	1	136	136	
ENSG00000175267	VWA3A	16	+	8	8	22134487:22134934	22134858:22134934|22134487:22134795	ENSP00000457770	ENSP00000374049|ENSP00000299840	1	1	63	63	
ENSG00000175267	VWA3A	16	+	8	8	22151566:22152903	22152571:22152903|22151566:22152524	ENSP00000299840	ENSP00000374049	1	1	47	47	
ENSG00000175267	VWA3A	16	+	8	8	22157666:22159483	22158964:22159483|22157666:22158892	ENSP00000374048|ENSP00000456513	ENSP00000374049	1	1	72	72	
ENSG00000064490	RFXANK	19	+	12	12	19307856:19308330	19308061:19308330|19307856:19307995	ENSP00000305071|ENSP00000384572|ENSP00000439581	ENSP00000262804|ENSP00000409138|ENSP00000440325|ENSP00000440527|ENSP00000376138|ENSP00000444280	1	1	66	66	
ENSG00000064490	RFXANK	19	+	12	12	19309533:19309963	19309813:19309963|19309533:19309769	ENSP00000444280	ENSP00000262804|ENSP00000409138|ENSP00000305071|ENSP00000384572|ENSP00000376138	1	1	44	44	
ENSG00000064490	RFXANK	19	+	12	12	19310044:19312458	19311703:19312458|19310044:19311628	ENSP00000440321	ENSP00000262804|ENSP00000409138|ENSP00000305071|ENSP00000384572|ENSP00000376138	1	1	75	75	
ENSG00000159314	ARHGAP27	17	-	11	11	43481463:43481811	43481701:43481811|43481463:43481635	ENSP00000366121|ENSP00000431591|ENSP00000403323|ENSP00000409330|ENSP00000408235	ENSP00000432762|ENSP00000433942	1	1	66	66	
ENSG00000159314	ARHGAP27	17	-	11	11	43481895:43482290	43481895:43481967|43482048:43482290	ENSP00000432762|ENSP00000366121|ENSP00000433942|ENSP00000403323|ENSP00000408235|ENSP00000437100	ENSP00000431591|ENSP00000409330	1	1	81	81	
ENSG00000007171	NOS2	17	-	3	3	26096611:26099334	26096611:26097939|26098044:26099334	ENSP00000327251|ENSP00000368399	ENSP00000305638	1	1	105	105	
ENSG00000145107	TM4SF19	3	-	5	5	196051312:196054261	196051312:196053826|196053904:196054261	ENSP00000405973|ENSP00000395280|ENSP00000273695	ENSP00000387728	1	1	78	78	
ENSG00000181433	SAGE1	X	+	4	4	134987552:134991798	134988324:134988570|134990777:134991023|134991164:134991798|134990001:134990248|134989226:134989472|134989613:134989860|134990389:134990636|134987552:134988183|134988711:134989085	ENSP00000323191|ENSP00000445959|ENSP00000359743	ENSP00000438276	8	8	1128	1128	
ENSG00000152292	SH2D6	2	+	2	2	85662247:85662789	85662620:85662789|85662247:85662536	ENSP00000341867	ENSP00000374588	1	1	84	84	
ENSG00000130347	RTN4IP1	6	-	2	2	107031296:107067077	107031296:107035554|107035738:107040039|107040176:107050749|107050798:107067077	ENSP00000358059	ENSP00000444261	3	3	370	370	
ENSG00000233051	MICA	HSCHR6_MHC_COX	+	5	5	31369071:31370220	31369071:31369517|31369071:31369345|31369633:31370220|31369071:31369474	ENSP00000405177|ENSP00000394553|ENSP00000412992|ENSP00000447026	ENSP00000412989	1	1	116	288	
ENSG00000147206	NXF3	X	-	4	4	102334799:102335076	102334997:102335076|102334799:102334941	ENSP00000378504|ENSP00000404017	ENSP00000401026	1	1	56	56	
ENSG00000133687	TMTC1	12	-	7	7	29786270:29904599	29813819:29904599|29812917:29813737|29786270:29812813	ENSP00000448112|ENSP00000449043|ENSP00000370622	ENSP00000256062|ENSP00000442046	2	2	186	186	
ENSG00000133687	TMTC1	12	-	7	7	29709934:29736340	29709934:29725038|29725152:29736340	ENSP00000446123|ENSP00000256062|ENSP00000448112|ENSP00000442046|ENSP00000370622	ENSP00000449043	1	1	114	114	
ENSG00000109736	MFSD10	4	-	7	7	2932878:2933282	2933193:2933282|2932878:2932954|2933002:2933102	ENSP00000426907|ENSP00000347619|ENSP00000332646	ENSP00000425757	2	2	139	139	
ENSG00000109736	MFSD10	4	-	7	7	2933193:2933552	2933193:2933282|2933391:2933552	ENSP00000426907|ENSP00000347619|ENSP00000332646	ENSP00000423402	1	1	109	109	
ENSG00000019186	CYP24A1	20	-	3	3	52773829:52774625	52774125:52774625|52773829:52773927	ENSP00000216862|ENSP00000379284	ENSP00000379285	1	1	198	198	
ENSG00000148175	STOM	9	-	3	3	124103687:124118331	124103687:124110293|124110428:124111398|124111602:124115498|124116952:124118331|124115581:124116879	ENSP00000286713|ENSP00000445764	ENSP00000339607	4	4	495	495	
ENSG00000103540	CCP110	16	+	6	6	19559337:19562518	19559337:19559837|19559923:19562518	ENSP00000370803	ENSP00000379515|ENSP00000379511	1	1	86	86	
ENSG00000103540	CCP110	16	+	6	6	19539345:19551979	19548910:19551979|19543867:19547262|19539345:19543738	ENSP00000379515|ENSP00000370803|ENSP00000379511	ENSP00000458123	2	2	1777	1777	
ENSG00000103540	CCP110	16	+	6	6	19539345:19547262	19543867:19547262|19539345:19543738	ENSP00000379515|ENSP00000370803|ENSP00000379511	ENSP00000459410	1	1	129	129	
ENSG00000196610	HLA-DQB2	HSCHR6_MHC_QBL	-	6	6	32653807:32655354	32654387:32655354|32653807:32654276	ENSP00000322293|ENSP00000382569|ENSP00000449451	ENSP00000382566|ENSP00000449357	1	1	111	111	
ENSG00000196610	HLA-DQB2	HSCHR6_MHC_QBL	-	6	6	32652967:32655354	32654387:32655354|32652967:32653783|32653807:32655354|32653807:32654276	ENSP00000382566|ENSP00000382569|ENSP00000449357	ENSP00000396323	1	2	24	135	
ENSG00000138759	FRAS1	4	+	11	11	79340218:79345542	79343155:79345542|79340218:79343017	ENSP00000326330|ENSP00000264895	ENSP00000422221	1	1	138	138	
ENSG00000108823	SGCA	17	+	10	10	48246616:48248001	48246616:48247504|48247713:48248001	ENSP00000262018	ENSP00000426571	1	1	209	209	
ENSG00000108823	SGCA	17	+	10	10	48245934:48248001	48246616:48248001|48246616:48247504|48245934:48246453|48247713:48248001|48246466:48247504	ENSP00000426571|ENSP00000262018|ENSP00000422030	ENSP00000345522|ENSP00000426104	1	2	163	372	
ENSG00000108823	SGCA	17	+	10	10	48244849:48245308	48245098:48245308|48244849:48244943	ENSP00000426571|ENSP00000345522|ENSP00000262018|ENSP00000444539	ENSP00000422817|ENSP00000390371	1	1	155	155	
ENSG00000108823	SGCA	17	+	10	10	48243439:48245308	48245098:48245308|48244849:48244943|48243439:48244729|48244849:48245308	ENSP00000426571|ENSP00000345522|ENSP00000262018|ENSP00000444539|ENSP00000422817	ENSP00000426104	1	2	120	275	
ENSG00000109685	WHSC1	4	+	18	18	1936990:1941381	1940260:1941381|1936990:1940178	ENSP00000423972|ENSP00000421681|ENSP00000372347|ENSP00000372348|ENSP00000329167|ENSP00000372351|ENSP00000399251|ENSP00000308780|ENSP00000425761|ENSP00000381311	ENSP00000424482	1	1	82	82	
ENSG00000226710	C6orf48	HSCHR6_MHC_COX	+	11	11	31790350:31792383	31790350:31790559|31790600:31792383	ENSP00000449921	ENSP00000449244	1	1	41	41	
ENSG00000073331	ALPK1	4	+	8	8	113299055:113332983	113303709:113332983|113299055:113303554	ENSP00000398048|ENSP00000177648|ENSP00000425559|ENSP00000423978	ENSP00000424492|ENSP00000426044|ENSP00000425273	1	1	155	155	
ENSG00000073331	ALPK1	4	+	8	8	113350410:113356304	113350410:113351604|113353738:113356304	ENSP00000398048|ENSP00000177648|ENSP00000426044	ENSP00000425559	1	1	2134	2134	
ENSG00000087237	CETP	16	+	3	3	57005996:57009013	57005996:57007243|57007423:57009013	ENSP00000200676|ENSP00000456276	ENSP00000369106	1	1	180	180	
ENSG00000185722	ANKFY1	17	-	8	8	4120414:4145551	4120414:4139067|4139186:4145551	ENSP00000343362|ENSP00000459943|ENSP00000459561|ENSP00000459775|ENSP00000416005	ENSP00000442785|ENSP00000460619	1	1	119	119	
ENSG00000156697	UTP14A	X	+	5	5	129045127:129053151	129045898:129053151|129045127:129045742	ENSP00000377944|ENSP00000360090	ENSP00000388669	1	1	156	156	
ENSG00000156697	UTP14A	X	+	5	5	129042107:129044984	129042711:129044984|129042107:129042646	ENSP00000388669|ENSP00000377944	ENSP00000360090	1	1	65	65	
ENSG00000173662	TAS1R1	1	+	6	6	6635453:6638713	6637131:6638713|6636688:6637010|6635453:6636475	ENSP00000331867	ENSP00000327705|ENSP00000414166	2	2	334	334	
ENSG00000173662	TAS1R1	1	+	6	6	6631276:6636475	6631276:6634691|6635453:6636475	ENSP00000331867	ENSP00000390751|ENSP00000312558|ENSP00000408448	1	1	762	762	
ENSG00000090975	PITPNM2	12	-	6	6	123473420:123475092	123473420:123474334|123474496:123475092	ENSP00000322218|ENSP00000376223|ENSP00000437611	ENSP00000280562	1	1	162	162	
ENSG00000090975	PITPNM2	12	-	6	6	123475257:123477046	123475257:123476302|123476446:123477046	ENSP00000280562	ENSP00000322218|ENSP00000376223|ENSP00000437611	1	1	144	144	
ENSG00000215788	TNFRSF25	1	-	11	11	6522724:6525500	6522724:6524435|6524780:6525148|6524780:6525500|6522724:6523132|6524514:6524612|6525283:6525500|6523188:6524435	ENSP00000337713|ENSP00000423121|ENSP00000424071	ENSP00000326762	2	4	247	438	
ENSG00000215788	TNFRSF25	1	-	11	11	6524780:6525500	6524780:6525148|6525283:6525500	ENSP00000349341|ENSP00000431554|ENSP00000434129|ENSP00000367013|ENSP00000337713|ENSP00000424071|ENSP00000404274	ENSP00000314451|ENSP00000423121|ENSP00000421976	1	1	135	135	
ENSG00000215788	TNFRSF25	1	-	11	11	6522724:6524435	6522724:6523132|6523188:6524435	ENSP00000337713	ENSP00000423121|ENSP00000424071	1	1	56	56	
ENSG00000215788	TNFRSF25	1	-	11	11	6522235:6524612	6523031:6523125|6523208:6524435|6523031:6523132|6522724:6523132|6522727:6522923|6524514:6524612|6523188:6524435|6522235:6522689	ENSP00000349341|ENSP00000367013|ENSP00000337713|ENSP00000314451	ENSP00000421976	3	4	170	308	
ENSG00000215788	TNFRSF25	1	-	11	11	6523031:6524435	6523031:6523125|6523208:6524435|6523031:6523132|6523188:6524435	ENSP00000349341|ENSP00000367013|ENSP00000314451	ENSP00000404274	1	1	56	83	
ENSG00000065427	KARS	16	-	8	8	75670446:75675462	75674248:75675462|75670446:75674082	ENSP00000325448|ENSP00000303043|ENSP00000458028	ENSP00000455818|ENSP00000456786	1	1	166	166	
ENSG00000065427	KARS	16	-	8	8	75669997:75675462	75674248:75675462|75670446:75674082|75669997:75670352	ENSP00000325448|ENSP00000303043|ENSP00000458028	ENSP00000456185	2	2	260	260	
ENSG00000100380	ST13	22	-	6	6	41240914:41252435	41244374:41246827|41246885:41252435|41240914:41244298	ENSP00000216218|ENSP00000445297|ENSP00000438660	ENSP00000397062	2	2	134	134	
ENSG00000126838	PZP	12	-	3	3	9315245:9317735	9316856:9317735|9315245:9316264|9316386:9316729	ENSP00000261336	ENSP00000371427	2	2	249	249	
ENSG00000172845	SP3	2	-	4	4	174820961:174829133	174820961:174828489|174828612:174829133	ENSP00000310301	ENSP00000388903|ENSP00000413665	1	1	123	123	
ENSG00000112494	UNC93A	6	+	3	3	167709750:167717407	167711559:167717407|167709750:167711433	ENSP00000230256	ENSP00000355794	1	1	126	126	
ENSG00000108474	PIGL	17	+	2	2	16216929:16221089	16216929:16219995|16220027:16221089	ENSP00000225609	ENSP00000379185	1	1	32	32	
ENSG00000101751	POLI	18	+	2	2	51804226:51809207	51807274:51809207|51804226:51807037	ENSP00000217800	ENSP00000385196	1	1	237	237	
